MUNICIPIO,REDE,IDEB_2015,IDEB_2017
Alta Floresta D'Oeste,Estadual,5.8,6.2
Alta Floresta D'Oeste,Municipal,5,5.1
Alta Floresta D'Oeste,Pública,5.8,6.2
Ariquemes,Estadual,5.6,6
Ariquemes,Municipal,5,5.4
Ariquemes,Pública,5.2,5.5
Cabixi,Estadual,6.3,-
Cabixi,Municipal,5.3,6.1
Cabixi,Pública,5.5,6.1
Cacoal,Estadual,6,6.5
Cacoal,Municipal,5.8,6.1
Cacoal,Pública,5.9,6.3
Cerejeiras,Estadual,6.5,7.4
Cerejeiras,Municipal,5.4,6
Cerejeiras,Pública,5.9,6.4
Colorado do Oeste,Estadual,6.2,-
Colorado do Oeste,Municipal,-,6.4
Colorado do Oeste,Pública,6.3,6.4
Corumbiara,Estadual,5.5,-
Corumbiara,Municipal,5,5.7
Corumbiara,Pública,5.2,5.7
Costa Marques,Estadual,4.8,4.6
Costa Marques,Municipal,4.5,5
Costa Marques,Pública,4.9,4.8
Espigão D'Oeste,Estadual,6.1,6.2
Espigão D'Oeste,Municipal,5.8,5.9
Espigão D'Oeste,Pública,6,6.1
Guajará-Mirim,Estadual,4.7,5
Guajará-Mirim,Municipal,5,4.9
Guajará-Mirim,Pública,4.9,4.9
Jaru,Estadual,5.9,6.5
Jaru,Municipal,5,5.7
Jaru,Pública,5.6,6.1
Ji-Paraná,Estadual,5.8,5.9
Ji-Paraná,Municipal,6.6,7
Ji-Paraná,Pública,6,6.2
Machadinho D'Oeste,Estadual,5.9,5.7
Machadinho D'Oeste,Municipal,4.7,4.9
Machadinho D'Oeste,Pública,5.2,5.2
Nova Brasilândia D'Oeste,Estadual,7.4,7.9
Nova Brasilândia D'Oeste,Municipal,5.7,5.8
Nova Brasilândia D'Oeste,Pública,6.6,7.2
Ouro Preto do Oeste,Estadual,6.3,4.8
Ouro Preto do Oeste,Municipal,5.4,5.9
Ouro Preto do Oeste,Pública,5.7,5.8
Pimenta Bueno,Estadual,5.7,6.4
Pimenta Bueno,Municipal,6,6.1
Pimenta Bueno,Pública,5.9,6.2
Porto Velho,Estadual,5.1,5.7
Porto Velho,Municipal,4.8,5.1
Porto Velho,Pública,4.9,5.3
Presidente Médici,Estadual,6.3,6.5
Presidente Médici,Municipal,5.2,6.1
Presidente Médici,Pública,6,6.3
Rio Crespo,Estadual,5.1,6.1
Rio Crespo,Municipal,4.6,4.7
Rio Crespo,Pública,4.9,5.1
Rolim de Moura,Estadual,6,6.9
Rolim de Moura,Municipal,-,5.7
Rolim de Moura,Pública,5.6,6.4
Santa Luzia D'Oeste,Estadual,-,-
Santa Luzia D'Oeste,Municipal,6.1,6.8
Santa Luzia D'Oeste,Pública,6.1,6.8
Vilhena,Estadual,6.3,6.7
Vilhena,Municipal,5.2,5.7
Vilhena,Pública,5.6,5.9
São Miguel do Guaporé,Estadual,5.6,6.1
São Miguel do Guaporé,Municipal,4.2,5.6
São Miguel do Guaporé,Pública,5,5.7
Nova Mamoré,Estadual,5,6
Nova Mamoré,Municipal,4.5,4.6
Nova Mamoré,Pública,4.8,5.2
Alvorada D'Oeste,Estadual,5.8,6.2
Alvorada D'Oeste,Municipal,5.5,5.6
Alvorada D'Oeste,Pública,5.6,5.8
Alto Alegre dos Parecis,Estadual,5.9,6.5
Alto Alegre dos Parecis,Municipal,5.7,5.7
Alto Alegre dos Parecis,Pública,5.8,5.8
Alto Paraíso,Estadual,5.4,5.7
Alto Paraíso,Municipal,4.8,5.8
Alto Paraíso,Pública,4.9,5.7
Buritis,Estadual,6.3,-
Buritis,Municipal,5.3,5.6
Buritis,Pública,5.5,5.6
Novo Horizonte do Oeste,Estadual,6.1,6.5
Novo Horizonte do Oeste,Municipal,5.6,5.5
Novo Horizonte do Oeste,Pública,5.8,5.8
Cacaulândia,Municipal,5.7,5.8
Cacaulândia,Pública,5.7,5.8
Campo Novo de Rondônia,Estadual,5.9,-
Campo Novo de Rondônia,Municipal,4.2,5.3
Campo Novo de Rondônia,Pública,4.6,5.3
Candeias do Jamari,Estadual,4.6,5.3
Candeias do Jamari,Municipal,4,4.1
Candeias do Jamari,Pública,4.2,4.4
Castanheiras,Estadual,-,-
Castanheiras,Pública,-,-
Chupinguaia,Estadual,-,-
Chupinguaia,Municipal,5.1,5.2
Chupinguaia,Pública,5.1,5.2
Cujubim,Estadual,5.7,-
Cujubim,Municipal,4.4,4.5
Cujubim,Pública,4.5,4.5
Governador Jorge Teixeira,Estadual,5,-
Governador Jorge Teixeira,Municipal,5.9,5.5
Governador Jorge Teixeira,Pública,5.6,5.5
Itapuã do Oeste,Estadual,-,-
Itapuã do Oeste,Municipal,4.2,4.8
Itapuã do Oeste,Pública,4.2,4.8
Ministro Andreazza,Estadual,6.2,7.3
Ministro Andreazza,Municipal,6.3,6.6
Ministro Andreazza,Pública,6.3,6.9
Mirante da Serra,Estadual,3.5,-
Mirante da Serra,Municipal,5.3,5.4
Mirante da Serra,Pública,5.6,5.3
Monte Negro,Estadual,5,5.4
Monte Negro,Municipal,4.5,4.7
Monte Negro,Pública,4.8,5.3
Nova União,Estadual,5.9,-
Nova União,Municipal,5.3,5.4
Nova União,Pública,5.4,5.4
Parecis,Estadual,6.1,6
Parecis,Municipal,4.3,5.1
Parecis,Pública,4.8,5.3
Pimenteiras do Oeste,Municipal,5.8,6.3
Pimenteiras do Oeste,Pública,5.8,6.3
Primavera de Rondônia,Estadual,-,-
Primavera de Rondônia,Municipal,5.2,5.1
Primavera de Rondônia,Pública,5.2,5.1
São Felipe D'Oeste,Estadual,5.2,5.3
São Felipe D'Oeste,Municipal,5.2,5.8
São Felipe D'Oeste,Pública,5.2,5.7
São Francisco do Guaporé,Estadual,5.6,6.5
São Francisco do Guaporé,Municipal,4.9,5.5
São Francisco do Guaporé,Pública,5.3,5.9
Seringueiras,Estadual,5,7.3
Seringueiras,Municipal,5.2,5.4
Seringueiras,Pública,5.2,5.7
Teixeirópolis,Estadual,6.3,-
Teixeirópolis,Municipal,-,6
Teixeirópolis,Pública,6.1,6
Theobroma,Estadual,5.9,6.5
Theobroma,Pública,6,6.4
Urupá,Estadual,6.5,-
Urupá,Municipal,5.2,6
Urupá,Pública,5.6,6
Vale do Anari,Estadual,6.6,7
Vale do Anari,Municipal,4.5,5.6
Vale do Anari,Pública,5.1,5.8
Vale do Paraíso,Estadual,5.7,-
Vale do Paraíso,Municipal,4.8,5.1
Vale do Paraíso,Pública,4.9,5.1
Acrelândia,Estadual,-,-
Acrelândia,Municipal,5,5.4
Acrelândia,Pública,5,5.4
Assis Brasil,Estadual,-,-
Assis Brasil,Municipal,4.4,4.9
Assis Brasil,Pública,4.2,4.3
Brasiléia,Estadual,7.6,7.9
Brasiléia,Municipal,5.2,5.9
Brasiléia,Pública,5.8,6.4
Bujari,Estadual,-,-
Bujari,Municipal,4.3,4.6
Bujari,Pública,4.1,4.5
Capixaba,Estadual,-,-
Capixaba,Municipal,4.5,4.2
Capixaba,Pública,4.5,4.2
Cruzeiro do Sul,Estadual,5.5,5.9
Cruzeiro do Sul,Municipal,4.8,4.9
Cruzeiro do Sul,Pública,5.2,5.5
Epitaciolândia,Estadual,-,-
Epitaciolândia,Municipal,5.3,5.8
Epitaciolândia,Pública,5.3,5.8
Feijó,Estadual,4.8,5.4
Feijó,Municipal,4.9,5.5
Feijó,Pública,4.9,5.5
Jordão,Estadual,5.6,5.9
Jordão,Municipal,4.4,4.2
Jordão,Pública,4.8,4.8
Mâncio Lima,Estadual,-,-
Mâncio Lima,Municipal,4.5,5.3
Mâncio Lima,Pública,4.5,5.2
Manoel Urbano,Estadual,-,-
Manoel Urbano,Municipal,5.4,5
Manoel Urbano,Pública,4.9,4.7
Marechal Thaumaturgo,Municipal,4.5,4.2
Marechal Thaumaturgo,Pública,4.5,4.2
Plácido de Castro,Estadual,4.5,5.6
Plácido de Castro,Municipal,4.5,4.9
Plácido de Castro,Pública,4.5,5.2
Porto Walter,Estadual,-,-
Porto Walter,Municipal,4.1,3.7
Porto Walter,Pública,4.1,3.7
Rio Branco,Federal,6.4,6.2
Rio Branco,Estadual,5.8,6.3
Rio Branco,Municipal,5.8,6.5
Rio Branco,Pública,5.8,6.4
Rodrigues Alves,Estadual,-,-
Rodrigues Alves,Municipal,5.4,5.8
Rodrigues Alves,Pública,5.4,5.8
Santa Rosa do Purus,Municipal,4.2,3.4
Santa Rosa do Purus,Pública,4.1,3.4
Senador Guiomard,Estadual,5.7,7.3
Senador Guiomard,Municipal,5.4,5.8
Senador Guiomard,Pública,5.5,6.4
Sena Madureira,Estadual,4.2,4.7
Sena Madureira,Municipal,5.3,5.9
Sena Madureira,Pública,5.1,5.7
Tarauacá,Estadual,4.9,5.8
Tarauacá,Municipal,5,4.8
Tarauacá,Pública,4.9,5.2
Xapuri,Estadual,5.5,5.8
Xapuri,Municipal,4.8,4.7
Xapuri,Pública,5.2,5.5
Porto Acre,Estadual,-,-
Porto Acre,Municipal,4.7,4.8
Porto Acre,Pública,4.7,5
Alvarães,Estadual,4.6,5
Alvarães,Municipal,3.3,3.3
Alvarães,Pública,3.6,3.7
Amaturá,Estadual,5.1,4.5
Amaturá,Municipal,3.6,3.9
Amaturá,Pública,4,4
Anamã,Estadual,6.9,7.4
Anamã,Municipal,4.1,4.4
Anamã,Pública,4.7,5
Anori,Estadual,5.2,5.2
Anori,Municipal,4.6,5.3
Anori,Pública,4.8,5.3
Apuí,Estadual,-,6.5
Apuí,Municipal,-,4.5
Apuí,Pública,-,5.4
Atalaia do Norte,Estadual,4.1,4.4
Atalaia do Norte,Municipal,4.8,4.4
Atalaia do Norte,Pública,4.7,4.5
Autazes,Estadual,4.8,4.9
Autazes,Municipal,-,4.5
Autazes,Pública,4.5,4.8
Barcelos,Estadual,4.9,5.7
Barcelos,Municipal,4,4.3
Barcelos,Pública,4.2,4.7
Barreirinha,Estadual,5,5.2
Barreirinha,Municipal,3.9,4
Barreirinha,Pública,4.4,4.6
Benjamin Constant,Estadual,6.5,6.4
Benjamin Constant,Municipal,4.1,4
Benjamin Constant,Pública,4.5,4.4
Beruri,Estadual,8.2,5.6
Beruri,Municipal,4.6,4.4
Beruri,Pública,5.3,4.6
Boa Vista do Ramos,Estadual,5.4,4.7
Boa Vista do Ramos,Municipal,4.4,-
Boa Vista do Ramos,Pública,5.1,4.6
Boca do Acre,Estadual,6.3,6.4
Boca do Acre,Municipal,6,6
Boca do Acre,Pública,6.1,6.1
Borba,Estadual,4.6,5.5
Borba,Municipal,4.5,4.8
Borba,Pública,4.4,5.1
Caapiranga,Estadual,4.4,5.6
Caapiranga,Municipal,3.3,3.9
Caapiranga,Pública,3.6,4.7
Canutama,Estadual,4.2,4.5
Canutama,Municipal,3.2,3.6
Canutama,Pública,3.6,3.8
Carauari,Estadual,5.9,6.8
Carauari,Municipal,4.5,4
Carauari,Pública,4.9,4.8
Careiro,Estadual,5.4,5.8
Careiro,Municipal,4,4.5
Careiro,Pública,4.3,4.8
Careiro da Várzea,Estadual,4.9,4.9
Careiro da Várzea,Municipal,3.7,4.1
Careiro da Várzea,Pública,4.1,4.3
Coari,Estadual,5.3,5.7
Coari,Municipal,3.5,3.8
Coari,Pública,4.2,4.6
Codajás,Estadual,4.5,4.8
Codajás,Municipal,4.5,4.3
Codajás,Pública,4.4,4.6
Eirunepé,Estadual,6.2,6
Eirunepé,Municipal,4.3,3.7
Eirunepé,Pública,4.9,4.5
Envira,Estadual,7.1,5.7
Envira,Municipal,3.7,2.9
Envira,Pública,4.9,3.7
Fonte Boa,Estadual,3.9,4.5
Fonte Boa,Municipal,3.2,2.8
Fonte Boa,Pública,3.5,3.1
Guajará,Municipal,4.2,4.1
Guajará,Pública,4.2,4.1
Humaitá,Estadual,5.3,5
Humaitá,Municipal,4.4,4.3
Humaitá,Pública,4.6,4.5
Ipixuna,Estadual,4.1,4.4
Ipixuna,Municipal,3.8,3.6
Ipixuna,Pública,3.8,3.7
Iranduba,Estadual,4.6,4.5
Iranduba,Municipal,4.4,4.5
Iranduba,Pública,4.4,4.5
Itacoatiara,Estadual,6.6,7.3
Itacoatiara,Municipal,4.6,5.2
Itacoatiara,Pública,5,5.7
Itamarati,Estadual,3.9,4.8
Itamarati,Municipal,3.4,4.2
Itamarati,Pública,3.5,4.4
Itapiranga,Estadual,5.9,5.9
Itapiranga,Municipal,4.2,4.4
Itapiranga,Pública,5,5.2
Japurá,Estadual,-,8.3
Japurá,Municipal,3.8,4.6
Japurá,Pública,3.8,4.9
Juruá,Estadual,4.2,5
Juruá,Municipal,3.1,2.9
Juruá,Pública,3.4,3.6
Jutaí,Estadual,4.8,5.1
Jutaí,Municipal,3.9,3.7
Jutaí,Pública,4.1,3.9
Lábrea,Estadual,5.4,5.3
Lábrea,Municipal,4,3.7
Lábrea,Pública,4.3,4.1
Manacapuru,Estadual,5.6,6
Manacapuru,Municipal,4.6,4.9
Manacapuru,Pública,4.9,5.3
Manaquiri,Estadual,4.4,4.7
Manaquiri,Municipal,4,4.2
Manaquiri,Pública,4.2,4.4
Manaus,Estadual,5.8,6.2
Manaus,Municipal,5.4,5.8
Manaus,Pública,5.5,5.9
Manicoré,Estadual,5.4,5.8
Manicoré,Municipal,4.5,4.8
Manicoré,Pública,4.9,5.1
Maraã,Estadual,4.4,4.1
Maraã,Municipal,3.6,3.2
Maraã,Pública,3.7,3.5
Maués,Estadual,5.7,5.7
Maués,Municipal,4.9,4.8
Maués,Pública,5.1,5.1
Nhamundá,Estadual,5.6,6.4
Nhamundá,Municipal,5.1,5.1
Nhamundá,Pública,5.3,5.8
Nova Olinda do Norte,Estadual,5.5,5.4
Nova Olinda do Norte,Municipal,4,4.3
Nova Olinda do Norte,Pública,4.7,4.8
Novo Airão,Estadual,6.8,6.9
Novo Airão,Municipal,4.2,5.3
Novo Airão,Pública,4.7,5.7
Novo Aripuanã,Estadual,5.5,6.2
Novo Aripuanã,Municipal,4.4,3.9
Novo Aripuanã,Pública,4.8,5.1
Parintins,Estadual,6.3,6.5
Parintins,Municipal,4.8,5.2
Parintins,Pública,5.4,5.8
Pauini,Estadual,3.2,3.4
Pauini,Municipal,2.9,3.1
Pauini,Pública,2.9,3.1
Presidente Figueiredo,Estadual,-,-
Presidente Figueiredo,Municipal,4.9,5
Presidente Figueiredo,Pública,4.9,5
Rio Preto da Eva,Estadual,4.5,4.4
Rio Preto da Eva,Municipal,4.5,4.8
Rio Preto da Eva,Pública,4.4,4.7
Santa Isabel do Rio Negro,Estadual,4.2,4.5
Santa Isabel do Rio Negro,Municipal,4.2,4.3
Santa Isabel do Rio Negro,Pública,4.2,4.4
Santo Antônio do Içá,Estadual,4.8,6
Santo Antônio do Içá,Municipal,3.8,3.7
Santo Antônio do Içá,Pública,4,4
São Gabriel da Cachoeira,Estadual,4.6,4.9
São Gabriel da Cachoeira,Municipal,3.6,3.7
São Gabriel da Cachoeira,Pública,4.2,4.5
São Paulo de Olivença,Estadual,4,4.7
São Paulo de Olivença,Municipal,4.2,4
São Paulo de Olivença,Pública,4.2,4.4
São Sebastião do Uatumã,Estadual,4.3,5.7
São Sebastião do Uatumã,Municipal,3.9,5.1
São Sebastião do Uatumã,Pública,4,5.2
Silves,Estadual,5,5.3
Silves,Municipal,4.4,4
Silves,Pública,4.5,4.4
Tabatinga,Estadual,5.3,5.8
Tabatinga,Municipal,4,4.1
Tabatinga,Pública,4.4,4.6
Tapauá,Estadual,5.3,5.3
Tapauá,Municipal,4,3.8
Tapauá,Pública,4.5,4.3
Tefé,Estadual,5.3,5.6
Tefé,Municipal,4.4,4.1
Tefé,Pública,4.8,4.6
Tonantins,Estadual,3.6,4.6
Tonantins,Municipal,3.2,3.3
Tonantins,Pública,3.5,3.7
Uarini,Estadual,4.3,4.9
Uarini,Municipal,-,3.3
Uarini,Pública,3.6,3.8
Urucará,Estadual,4.9,6.6
Urucará,Municipal,4.4,5.1
Urucará,Pública,4.5,5.3
Urucurituba,Estadual,5.7,5.2
Urucurituba,Municipal,4.6,3.6
Urucurituba,Pública,5.1,4.4
Amajari,Estadual,-,-
Amajari,Municipal,4,4.5
Amajari,Pública,4,4.6
Alto Alegre,Estadual,-,-
Alto Alegre,Municipal,4.4,4.5
Alto Alegre,Pública,4.4,4.6
Boa Vista,Federal,6,6.9
Boa Vista,Estadual,5.1,-
Boa Vista,Municipal,5.5,5.8
Boa Vista,Pública,5.5,5.8
Bonfim,Estadual,-,-
Bonfim,Municipal,4,4.5
Bonfim,Pública,4,4.5
Cantá,Estadual,-,-
Cantá,Municipal,-,-
Cantá,Pública,-,-
Caracaraí,Estadual,-,-
Caracaraí,Municipal,4.2,4.4
Caracaraí,Pública,4.2,4.5
Caroebe,Estadual,4.2,-
Caroebe,Municipal,3.9,4.5
Caroebe,Pública,4,4.5
Iracema,Estadual,-,-
Iracema,Municipal,4.5,4.1
Iracema,Pública,4.5,4.4
Mucajaí,Estadual,5,-
Mucajaí,Municipal,4.2,4.3
Mucajaí,Pública,4.4,4.3
Normandia,Estadual,-,-
Normandia,Municipal,3.7,4.2
Normandia,Pública,3.8,4.3
Pacaraima,Estadual,-,-
Pacaraima,Municipal,4.8,5
Pacaraima,Pública,4.9,5
Rorainópolis,Estadual,-,-
Rorainópolis,Municipal,4.2,4.5
Rorainópolis,Pública,4.2,4.5
São João da Baliza,Estadual,-,-
São João da Baliza,Municipal,4.3,4.1
São João da Baliza,Pública,4.3,4.2
São Luiz,Estadual,-,-
São Luiz,Municipal,4.6,4.2
São Luiz,Pública,4.6,4.2
Uiramutã,Estadual,-,-
Uiramutã,Municipal,-,4.4
Uiramutã,Pública,-,4.2
Abaetetuba,Municipal,4.4,4.6
Abaetetuba,Pública,4.4,4.6
Abel Figueiredo,Municipal,4.7,5.1
Abel Figueiredo,Pública,4.7,5.1
Acará,Municipal,3.6,3.7
Acará,Pública,3.6,3.7
Afuá,Municipal,3.2,3.3
Afuá,Pública,3.2,3.3
Água Azul do Norte,Municipal,3.9,3.5
Água Azul do Norte,Pública,3.9,3.5
Alenquer,Estadual,3.6,4
Alenquer,Municipal,3.8,4
Alenquer,Pública,3.8,4
Almeirim,Municipal,3.6,3.6
Almeirim,Pública,3.6,3.6
Altamira,Municipal,5.2,5.5
Altamira,Pública,5.2,5.5
Anajás,Estadual,-,-
Anajás,Municipal,3.3,3.3
Anajás,Pública,3.3,3.3
Ananindeua,Estadual,4.2,4.6
Ananindeua,Municipal,5.1,5.2
Ananindeua,Pública,4.7,5
Anapu,Municipal,4.1,4.2
Anapu,Pública,4.1,4.2
Augusto Corrêa,Municipal,3.8,4
Augusto Corrêa,Pública,3.8,4
Aurora do Pará,Estadual,-,-
Aurora do Pará,Municipal,4.3,4.6
Aurora do Pará,Pública,4.3,4.6
Aveiro,Municipal,4,3.6
Aveiro,Pública,4,3.6
Bagre,Municipal,3.8,3.9
Bagre,Pública,3.8,3.9
Baião,Municipal,3.4,3.9
Baião,Pública,3.4,3.9
Bannach,Municipal,3.9,4
Bannach,Pública,3.9,4
Barcarena,Estadual,3.8,4.4
Barcarena,Municipal,3.9,4
Barcarena,Pública,3.8,4.1
Belém,Federal,6.5,6.8
Belém,Estadual,4.3,4.6
Belém,Municipal,4.6,5.1
Belém,Pública,4.4,4.8
Belterra,Municipal,4.7,4.6
Belterra,Pública,4.7,4.6
Benevides,Estadual,5,6.1
Benevides,Municipal,5.4,6.2
Benevides,Pública,5.4,6.2
Bom Jesus do Tocantins,Estadual,-,-
Bom Jesus do Tocantins,Municipal,5,4.7
Bom Jesus do Tocantins,Pública,5,4.7
Bonito,Estadual,2.8,3.6
Bonito,Municipal,3,4
Bonito,Pública,3.1,4
Bragança,Estadual,4.2,4.4
Bragança,Municipal,3.7,3.9
Bragança,Pública,3.9,4.1
Brasil Novo,Municipal,5.5,5.3
Brasil Novo,Pública,5.5,5.3
Brejo Grande do Araguaia,Municipal,4.5,4.4
Brejo Grande do Araguaia,Pública,4.5,4.4
Breu Branco,Municipal,3.9,4.4
Breu Branco,Pública,3.9,4.4
Breves,Municipal,3.3,3.5
Breves,Pública,3.3,3.5
Bujaru,Municipal,3.8,4
Bujaru,Pública,3.8,4
Cachoeira do Piriá,Estadual,-,-
Cachoeira do Piriá,Municipal,3.4,3.5
Cachoeira do Piriá,Pública,3.4,3.5
Cachoeira do Arari,Estadual,3.1,-
Cachoeira do Arari,Municipal,3.7,3.9
Cachoeira do Arari,Pública,3.6,3.9
Cametá,Municipal,3.9,3.8
Cametá,Pública,3.9,3.8
Canaã dos Carajás,Municipal,4.7,5
Canaã dos Carajás,Pública,4.7,5
Capanema,Estadual,4.4,4.5
Capanema,Municipal,4,4.3
Capanema,Pública,4.1,4.4
Capitão Poço,Estadual,3.4,3.5
Capitão Poço,Municipal,3.8,3.7
Capitão Poço,Pública,3.7,3.6
Castanhal,Estadual,3.8,3.9
Castanhal,Municipal,4.6,4.8
Castanhal,Pública,4.6,4.7
Chaves,Municipal,3.6,3.3
Chaves,Pública,3.6,3.3
Colares,Estadual,-,-
Colares,Municipal,4.3,4.4
Colares,Pública,4.3,4.4
Conceição do Araguaia,Estadual,4.1,4.2
Conceição do Araguaia,Municipal,4.4,4.6
Conceição do Araguaia,Pública,4.3,4.5
Concórdia do Pará,Estadual,-,-
Concórdia do Pará,Municipal,4.1,3.8
Concórdia do Pará,Pública,4.1,3.8
Cumaru do Norte,Municipal,3.7,3.9
Cumaru do Norte,Pública,3.7,3.9
Curionópolis,Estadual,-,-
Curionópolis,Municipal,5,5.3
Curionópolis,Pública,5,5.3
Curralinho,Estadual,3,2.9
Curralinho,Municipal,3.3,3.1
Curralinho,Pública,3.3,3.1
Curuá,Municipal,4.5,3.8
Curuá,Pública,4.5,3.8
Curuçá,Estadual,-,-
Curuçá,Municipal,3.6,3.8
Curuçá,Pública,3.6,3.8
Dom Eliseu,Municipal,5.9,5.4
Dom Eliseu,Pública,5.9,5.4
Eldorado do Carajás,Municipal,4.3,4.4
Eldorado do Carajás,Pública,4.3,4.4
Faro,Estadual,-,-
Faro,Municipal,3.9,4.1
Faro,Pública,3.8,4.1
Floresta do Araguaia,Municipal,4,4.3
Floresta do Araguaia,Pública,4,4.3
Garrafão do Norte,Municipal,3.7,3.7
Garrafão do Norte,Pública,3.7,3.7
Goianésia do Pará,Municipal,4.4,4.5
Goianésia do Pará,Pública,4.4,4.5
Gurupá,Estadual,-,-
Gurupá,Municipal,3.4,3.3
Gurupá,Pública,3.4,3.3
Igarapé-Açu,Estadual,3.4,3.7
Igarapé-Açu,Municipal,3.5,3.8
Igarapé-Açu,Pública,3.5,3.7
Igarapé-Miri,Municipal,3.9,3.8
Igarapé-Miri,Pública,3.9,3.8
Inhangapi,Estadual,-,-
Inhangapi,Municipal,3.7,4.6
Inhangapi,Pública,3.7,4.6
Ipixuna do Pará,Municipal,4.5,4.5
Ipixuna do Pará,Pública,4.5,4.5
Irituia,Estadual,-,-
Irituia,Municipal,3.9,4.1
Irituia,Pública,3.9,4.1
Itaituba,Municipal,4.3,4.8
Itaituba,Pública,4.3,4.8
Itupiranga,Estadual,3.2,-
Itupiranga,Municipal,3.6,3.9
Itupiranga,Pública,3.5,3.9
Jacareacanga,Municipal,3.7,3.8
Jacareacanga,Pública,3.7,3.8
Jacundá,Municipal,4.4,4.3
Jacundá,Pública,4.4,4.3
Juruti,Estadual,4.6,5.2
Juruti,Municipal,4.7,4.6
Juruti,Pública,4.7,4.7
Limoeiro do Ajuru,Municipal,3.4,3.6
Limoeiro do Ajuru,Pública,3.4,3.6
Mãe do Rio,Municipal,4.5,4.7
Mãe do Rio,Pública,4.5,4.7
Magalhães Barata,Estadual,-,-
Magalhães Barata,Municipal,3.6,3.9
Magalhães Barata,Pública,3.6,3.9
Marabá,Municipal,4.6,4.6
Marabá,Pública,4.6,4.6
Maracanã,Municipal,4.1,4.4
Maracanã,Pública,4.1,4.4
Marapanim,Municipal,3.6,3.8
Marapanim,Pública,3.6,3.8
Marituba,Municipal,4.3,4.8
Marituba,Pública,4.3,4.8
Medicilândia,Municipal,4.2,4.3
Medicilândia,Pública,4.2,4.3
Melgaço,Estadual,-,-
Melgaço,Municipal,3.4,3.3
Melgaço,Pública,3.4,3.3
Mocajuba,Municipal,3.7,3.9
Mocajuba,Pública,3.7,3.9
Moju,Municipal,4.1,4.8
Moju,Pública,4.1,4.8
Mojuí dos Campos,Municipal,4.7,5
Mojuí dos Campos,Pública,4.7,5
Monte Alegre,Municipal,4.2,4.4
Monte Alegre,Pública,4.2,4.4
Muaná,Municipal,4.4,4.2
Muaná,Pública,4.4,4.2
Nova Esperança do Piriá,Municipal,3.7,3.5
Nova Esperança do Piriá,Pública,3.7,3.5
Nova Ipixuna,Municipal,4,4
Nova Ipixuna,Pública,4,4
Nova Timboteua,Municipal,4,4.1
Nova Timboteua,Pública,4,4.1
Novo Progresso,Municipal,5.1,5
Novo Progresso,Pública,5.1,5
Novo Repartimento,Municipal,4.1,4.2
Novo Repartimento,Pública,4.1,4.2
Óbidos,Municipal,4.5,4.8
Óbidos,Pública,4.5,4.8
Oeiras do Pará,Municipal,3.4,3.5
Oeiras do Pará,Pública,3.4,3.5
Oriximiná,Municipal,4.1,4.8
Oriximiná,Pública,4.1,4.8
Ourém,Estadual,2.9,3.8
Ourém,Municipal,4.1,4.7
Ourém,Pública,3.8,4.5
Ourilândia do Norte,Municipal,4.7,4.8
Ourilândia do Norte,Pública,4.7,4.8
Pacajá,Municipal,4,4
Pacajá,Pública,4,4
Palestina do Pará,Municipal,4.3,3.6
Palestina do Pará,Pública,4.3,3.6
Paragominas,Municipal,5.2,5.7
Paragominas,Pública,5.2,5.7
Parauapebas,Municipal,5.6,5.7
Parauapebas,Pública,5.6,5.7
Pau D'Arco,Municipal,3.7,3.4
Pau D'Arco,Pública,3.7,3.4
Peixe-Boi,Municipal,4.3,4.7
Peixe-Boi,Pública,4.3,4.7
Piçarra,Municipal,4,4.4
Piçarra,Pública,4,4.4
Placas,Municipal,3.5,4.1
Placas,Pública,3.5,4.1
Ponta de Pedras,Estadual,4.5,3.8
Ponta de Pedras,Municipal,4.1,4.2
Ponta de Pedras,Pública,4.2,4.1
Portel,Municipal,3.3,3.3
Portel,Pública,3.3,3.3
Porto de Moz,Municipal,3.6,3.7
Porto de Moz,Pública,3.6,3.7
Prainha,Municipal,3.4,3.5
Prainha,Pública,3.4,3.5
Primavera,Estadual,-,-
Primavera,Municipal,4.2,4.6
Primavera,Pública,4.2,4.6
Quatipuru,Estadual,-,-
Quatipuru,Municipal,3.6,4.1
Quatipuru,Pública,3.6,4.1
Redenção,Municipal,4.5,4.8
Redenção,Pública,4.5,4.8
Rio Maria,Estadual,4.6,-
Rio Maria,Municipal,4.8,4.8
Rio Maria,Pública,4.7,4.8
Rondon do Pará,Municipal,4.6,4.9
Rondon do Pará,Pública,4.6,4.9
Rurópolis,Municipal,4.6,4.8
Rurópolis,Pública,4.6,4.8
Salinópolis,Estadual,4.9,5.2
Salinópolis,Municipal,4.2,4.1
Salinópolis,Pública,4.3,4.2
Salvaterra,Municipal,4.7,4.2
Salvaterra,Pública,4.7,4.2
Santa Bárbara do Pará,Estadual,4,-
Santa Bárbara do Pará,Municipal,4.7,5.1
Santa Bárbara do Pará,Pública,4.6,5.1
Santa Cruz do Arari,Estadual,2.8,2.9
Santa Cruz do Arari,Municipal,4.2,3.4
Santa Cruz do Arari,Pública,3.5,3.3
Santa Izabel do Pará,Municipal,3.9,4.1
Santa Izabel do Pará,Pública,3.9,4.1
Santa Luzia do Pará,Municipal,3.6,3.8
Santa Luzia do Pará,Pública,3.6,3.8
Santa Maria das Barreiras,Estadual,3.3,1.8
Santa Maria das Barreiras,Municipal,4.1,3.8
Santa Maria das Barreiras,Pública,4,3.6
